RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
B1.2;;;27.713;50.682;Top;0;
C1.4;CAP_0805;CAP_0805;32.543;18.092;Top;90;
U1.1;SOT23-6;SOT23-6;22.342;30.014;Top;0;
C1.2;CAP_1206;CAP_1206;29.209;33.942;Top;90;
C1.1;CAP_1206;CAP_1206;38.259;37.753;Top;90;
R1.1;RES_0603;RES_0603;35.877;32.916;Top;90;
R1.2;RES_0603;RES_0603;35.877;38.361;Top;270;
R1.5;RES_0603;RES_0603;32.758;21.588;Top;0;
R1.6;RES_0603;RES_0603;32.758;24.128;Top;0;
R1.3;RES_0603;RES_0603;14.341;22.54;Top;0;
D1.3;CAP_0603;CAP_0603;34.689;6.298;Top;0;
D1.2;CAP_0603;CAP_0603;20.889;6.092;Top;180;
R1.4;RES_0603;RES_0603;14.341;20.159;Top;0;
C1.3;CAP_0805;CAP_0805;14.282;17.46;Top;180;
R1.8;RES_0603;RES_0603;40.164;21.69;Top;270;
R1.7;RES_0603;RES_0603;40.164;17.721;Top;270;
J1.1;;;38.529;46.41;Top;0;
J1.3;;;28.097;45.085;Top;0;
D1.4;RES_0402;RES_0402;50.295;20.976;Top;270;
R1.9;RES_0402;RES_0402;44.029;24.09;Top;0;
L1.1;;CAP_1206;19.286;37.305;Top;0;
J1.2;;RES_0603;27.81;6.51;Top;0;
B1.1;;;50.335;28.696;Top;0;
D1.1;;;30.717;39.211;Top;0;
U1.2;;;22.303;19.453;Top;0;
