RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
STM32F407;STM32F407VGT;QFP-100/16x16x0.5;34.481;26.903;Top;0;
C2.1;CAP_0805;CAP_0805;30.419;44.693;Top;0;
U2.1_V3.3;SOT223-4;SOT223-4;22.792;47.093;Top;90;
C2.3;CAP_0805;CAP_0805;27.397;39.633;Top;0;
C2.4;CAP_0402;CAP_0402;25.906;37.491;Top;0;
C2.2;CAP_0402;CAP_0402;27.145;46.407;Top;90;
C2.16;CAP_0402;CAP_0402;22.815;23.457;Top;0;
R2.12;RES_0402;RES_0402;22.874;25.366;Top;180;
C2.7;RES_0805;RES_0805;44.634;18.744;Top;0;
R2.7;RES_0402;RES_0402;32.646;15.424;Top;90;
R2.2;RES_0402;RES_0402;29.7;37.015;Top;0;
R3;RES_0402;RES_0402;27.237;4.505;Top;180;
J2.6;;;5.974;27.648;Top;0;
R2.4;RES_0402;RES_0402;42.084;16.856;Top;0;
D2.2;RES_0402;RES_0402;45.466;16.825;Top;0;
R2.13;RES_0603;RES_0603;22;28.391;Top;90;
C2.12;CAP_0402;CAP_0402;13.872;33.557;Top;90;
C2.11;CAP_0402;CAP_0402;13.856;30.209;Top;270;
C2.13;CAP_0603;CAP_0603;21.261;33.429;Top;0;
C2.14;CAP_0603;CAP_0603;21.228;31.048;Top;0;
R2.11;RES_0402;RES_0402;16.411;19.844;Top;0;
R2.10;RES_0402;RES_0402;16.369;18.018;Top;0;
C2.9;CAP_0402;CAP_0402;21.552;19.027;Top;90;
C2.10;CAP_0805;CAP_0805;19.488;18.968;Top;90;
J2.1;;;38.323;46.715;Top;0;
R2.5;RES_0402;RES_0402;42.159;14.966;Top;0;
D2.3;RES_0402;RES_0402;45.398;14.939;Top;0;
R2.9;RES_0402;RES_0402;18.348;15.174;Top;0;
R2.8;RES_0402;RES_0402;21.877;13.134;Top;0;
J2.4WIFI;;;27.751;8.89;Top;180;
R2.1;RES_0402;RES_0402;27.105;50.475;Top;180;
D2.1;RES_0402;RES_0402;27.04;51.856;Top;0;
R2.3;RES_0402;RES_0402;44.859;21.336;Top;0;
C2.6;CAP_0805;CAP_0805;44.447;34.249;Top;90;
C2.5;CAP_0805;CAP_0805;41.78;35.376;Top;90;
C2.15;RES_0805;RES_0805;27.003;30.697;Bottom;0;
R2.16;RES_0603;RES_0603;21.084;33.307;Bottom;180;
R2.15;RES_0603;RES_0603;31.802;31.03;Bottom;0;
R2.14;RES_0603;RES_0603;30.282;34.345;Bottom;0;
J2.3;;;48.299;27.891;Top;0;
J2.2;;;41.08;40.585;Top;0;
J2.5;;;9.707;27.768;Top;0;
