RefDes;Name;Pattern;X (mm);Y (mm);Side;Rotate;Value
U1;ADS1299IPAG;QFP-64/12x12x0.5;29.953;19.697;Top;0;
C3.29;CAP_0402;CAP_0402;29.691;29.281;Top;90;
C3.16;CAP_0402;CAP_0402;30.885;11.303;Top;270;
C3.17;CAP_0402;CAP_0402;27.953;11.347;Top;0;
C3.18;CAP_0805;CAP_0805;28.177;9.757;Top;0;
C3.35;CAP_0402;CAP_0402;36.314;25.883;Top;90;
C3.34;RES_0402;RES_0402;35.294;25.834;Top;90;
C3.14;CAP_0402;CAP_0402;32.727;11.397;Top;270;
U3.5_DS1088L;DS1088LU-02;MSOP-8;41.659;25.611;Top;90;
R3.6;RES_0402;RES_0402;40.937;20.955;Top;270;
R3.5;RES_0402;RES_0402;44.141;25.495;Top;270;
C3.12;CAP_0402;CAP_0402;42.726;20.948;Top;270;
C3.13;CAP_0402;CAP_0402;44.521;20.933;Top;270;
R3.12;RES_0402;RES_0402;15.979;14.305;Top;0;
R3.9;RES_0402;RES_0402;41.488;17.729;Top;180;
R3.22;RES_0402;RES_0402;38.26;31.419;Top;180;
D3.2;RES_0402;RES_0402;29.593;5.777;Top;0;
R3.10;RES_0402;RES_0402;41.584;16.693;Top;180;
R3.7;RES_0402;RES_0402;26.042;6.744;Top;0;
R3.13;RES_0402;RES_0402;16.023;15.884;Top;0;
R3.14;RES_0402;RES_0402;16.017;17.355;Top;0;
R3.15;RES_0402;RES_0402;15.998;19.073;Top;0;
R3.16;RES_0402;RES_0402;15.995;20.628;Top;0;
R3.17;RES_0402;RES_0402;15.987;22.371;Top;0;
R3.19;RES_0402;RES_0402;15.895;25.797;Top;0;
R3.18;RES_0402;RES_0402;16.05;24.224;Top;0;
C3.19;CAP_0402;CAP_0402;20.295;14.308;Top;0;
C3.24;CAP_0402;CAP_0402;20.255;22.502;Top;0;
C3.26;CAP_0402;CAP_0402;20.182;25.759;Top;0;
C3.23;CAP_0402;CAP_0402;20.251;20.681;Top;0;
C3.20;CAP_0402;CAP_0402;20.282;15.851;Top;0;
C3.22;CAP_0402;CAP_0402;20.255;19.062;Top;0;
C3.25;CAP_0402;CAP_0402;20.254;24.224;Top;0;
C3.21;CAP_0402;CAP_0402;20.264;17.35;Top;0;
R3.2;RES_0402;RES_0402;29.643;41.443;Top;90;
U3.2_3.3v;MSOP-10;MSOP-10;16.784;36.654;Top;0;
U3.4;MSOP-12;MSOP-12;40.117;34.703;Top;0;
U3.3;MSOP-8;MSOP-8;37.433;40.875;Top;0;
U3.1;MSOP-10;MSOP-10;24.223;42.174;Top;0;
C3.3;CAP_0402;CAP_0402;28.215;41.413;Top;270;
C3.11;CAP_0805;CAP_0805;44.305;33.702;Top;90;
C3.2;CAP_0805;CAP_0805;29.27;43.744;Top;0;
C3.8;CAP_0805;CAP_0805;41.937;38.884;Top;90;
C3.1;CAP_0805;CAP_0805;20.118;42.224;Top;270;
C3.9;CAP_0805;CAP_0805;37.18;37.829;Top;0;
C3.10;CAP_0805;CAP_0805;44.638;37.94;Top;90;
C3.6;CAP_0402;CAP_0402;22.046;35.446;Top;90;
R3.4;RES_0402;RES_0402;43.809;29.99;Top;0;
C3.4;CAP_0805;CAP_0805;15.135;39.987;Top;90;
R3.3;RES_0402;RES_0402;20.617;35.416;Top;270;
C3.7;CAP_0805;CAP_0805;33.327;40.945;Top;270;
C3.5;CAP_0805;CAP_0805;19.979;39.083;Top;0;
R3.23;RES_0402;RES_0402;23.821;12.513;Top;0;
C3.28;CAP_0402;CAP_0402;28.395;29.274;Top;90;
C3.31;CAP_0402;CAP_0402;26.389;29.209;Top;0;
C3.30;CAP_0402;CAP_0402;26.396;27.5;Top;0;
R3.1;RES_0402;RES_0402;28.029;49.781;Top;0;
D3.1;RES_0402;RES_0402;27.992;51.805;Top;180;
C3.33;CAP_0402;CAP_0402;33.077;29.296;Top;0;
C3.32;CAP_0402;CAP_0402;33.141;28.344;Top;0;
R3.20;RES_0402;RES_0402;16.591;28.623;Top;0;
R3.21;RES_0402;RES_0402;20.538;29.285;Top;90;
C3.27;CAP_0402;CAP_0402;18.926;29.243;Top;90;
jmp3.4;RES_0402;RES_0402;24.105;25.192;Top;270;
R3.33;RES_0402;RES_0402;20.689;27.077;Top;0;
jmp1;RES_0402;RES_0402;26.306;4.54;Top;0;
R3.8;RES_0402;RES_0402;41.009;30.258;Top;90;
R3.11;RES_0402;RES_0402;36.001;29.802;Top;180;
U3;;;37.06;10.938;Top;0;
J3.3;;;11.986;28.552;Top;0;
